Subject_ID;Input Device;Current Clicks;Button Width;Button Distance;Index Of Difficulty;Time Taken; Successful Press
5;Mouse;1;50;400;3.169925;0.7403333;False
5;Mouse;2;50;400;3.169925;0.8281779;False
5;Mouse;3;50;400;3.169925;0.4805714;False
5;Mouse;4;50;400;3.169925;0.5194048;False
5;Mouse;5;50;400;3.169925;1.063223;False
5;Mouse;6;50;400;3.169925;0.6762259;False
5;Mouse;7;50;400;3.169925;0.3640561;False
5;Mouse;8;50;400;3.169925;0.5971391;False
5;Mouse;9;50;400;3.169925;0.7308532;True
5;Mouse;10;50;400;3.169925;0.6161336;False
5;Mouse;11;50;400;3.169925;0.4523756;True
5;Mouse;12;50;400;3.169925;0.5284011;False
5;Mouse;13;100;400;2.321928;0.5279671;False
5;Mouse;14;100;400;2.321928;0.512123;True
5;Mouse;15;100;400;2.321928;0.467385;True
5;Mouse;16;100;400;2.321928;0.5038891;False
5;Mouse;17;100;400;2.321928;0.4049927;False
5;Mouse;18;100;400;2.321928;1.467377;False
5;Mouse;19;100;400;2.321928;0.547739;True
5;Mouse;20;100;400;2.321928;0.6591599;True
5;Mouse;21;100;400;2.321928;1.972327;False
5;Mouse;22;100;400;2.321928;0.4845088;True
5;Mouse;23;100;400;2.321928;1.628085;True
5;Mouse;24;100;400;2.321928;0.468414;True
5;Mouse;25;25;400;4.087463;0.5592072;False
5;Mouse;26;25;400;4.087463;0.5840831;False
5;Mouse;27;25;400;4.087463;0.4842505;False
5;Mouse;28;25;400;4.087463;0.4048614;False
5;Mouse;29;25;400;4.087463;0.4195357;False
5;Mouse;30;25;400;4.087463;0.3721307;False
5;Mouse;31;25;400;4.087463;2.516921;False
5;Mouse;32;25;400;4.087463;0.5637901;False
5;Mouse;33;25;400;4.087463;0.4034415;False
5;Mouse;34;25;400;4.087463;0.207967;False
5;Mouse;35;25;400;4.087463;0.2131422;False
5;Mouse;36;25;400;4.087463;0.1780241;False
5;Mouse;37;50;800;4.087463;0.2323542;False
5;Mouse;38;50;800;4.087463;0.2353359;False
5;Mouse;39;50;800;4.087463;0.1872554;False
5;Mouse;40;50;800;4.087463;0.1731715;False
5;Mouse;41;50;800;4.087463;0.1681183;False
5;Mouse;42;50;800;4.087463;0.1672339;False
5;Mouse;43;50;800;4.087463;0.173592;False
5;Mouse;44;50;800;4.087463;0.1695779;False
5;Mouse;45;50;800;4.087463;0.1636142;False
5;Mouse;46;50;800;4.087463;0.1656132;False
5;Mouse;47;50;800;4.087463;0.1651243;False
5;Mouse;48;50;800;4.087463;0.1712712;False
5;Mouse;49;100;800;3.169925;0.1695656;False
5;Mouse;50;100;800;3.169925;0.1771057;False
5;Mouse;51;100;800;3.169925;0.1615104;False
5;Mouse;52;100;800;3.169925;0.1698971;False
5;Mouse;53;100;800;3.169925;0.1931902;False
5;Mouse;54;100;800;3.169925;0.2360616;False
5;Mouse;55;100;800;3.169925;0.2004544;False
5;Mouse;56;100;800;3.169925;0.179759;False
5;Mouse;57;100;800;3.169925;0.1604984;False
5;Mouse;58;100;800;3.169925;0.3526313;False
5;Mouse;59;100;800;3.169925;0.1798485;False
5;Mouse;60;100;800;3.169925;0.5351388;False
5;Mouse;61;25;800;5.044394;0.1808506;False
5;Mouse;62;25;800;5.044394;0.427517;False
5;Mouse;63;25;800;5.044394;0.3522595;False
5;Mouse;64;25;800;5.044394;0.2720177;False
5;Mouse;65;25;800;5.044394;0.3035167;False
5;Mouse;66;25;800;5.044394;0.0804894;False
5;Mouse;67;25;800;5.044394;0.08773948;False
5;Mouse;68;25;800;5.044394;0.07553338;False
5;Mouse;69;25;800;5.044394;0.08805501;False
5;Mouse;70;25;800;5.044394;0.09570241;False
5;Mouse;71;25;800;5.044394;0.1004948;False
5;Mouse;72;25;800;5.044394;0.0724958;False

