Subject_ID;Input Device;Current Clicks;Button Width;Button Distance;Index Of Difficulty;Time Taken; Successful Press
9;Touchpad;1;50;400;3.169925;2.635296;False
9;Touchpad;2;50;400;3.169925;0.2523;False
9;Touchpad;3;50;400;3.169925;0.2080573;False
9;Touchpad;4;50;400;3.169925;0.1927744;False
9;Touchpad;5;50;400;3.169925;0.1879064;False
9;Touchpad;6;50;400;3.169925;0.17101;False
9;Touchpad;7;50;400;3.169925;0.164517;False
9;Touchpad;8;50;400;3.169925;0.1714596;False
9;Touchpad;9;50;400;3.169925;0.1686138;False
9;Touchpad;10;50;400;3.169925;0.1707967;False
9;Touchpad;11;50;400;3.169925;0.1736362;False
9;Touchpad;12;50;400;3.169925;0.1828435;False
9;Touchpad;13;100;400;2.321928;0.17249;False
9;Touchpad;14;100;400;2.321928;0.1754244;False
9;Touchpad;15;100;400;2.321928;0.2008839;False
9;Touchpad;16;100;400;2.321928;0.1707916;False
9;Touchpad;17;100;400;2.321928;0.1884839;False
9;Touchpad;18;100;400;2.321928;0.1811403;False
9;Touchpad;19;100;400;2.321928;0.1743134;False
9;Touchpad;20;100;400;2.321928;0.1813676;False
9;Touchpad;21;100;400;2.321928;0.1726519;False
9;Touchpad;22;100;400;2.321928;0.1985363;False
9;Touchpad;23;100;400;2.321928;0.1839973;False
9;Touchpad;24;100;400;2.321928;0.1770471;False
9;Touchpad;25;25;400;4.087463;0.1878767;False
9;Touchpad;26;25;400;4.087463;0.1903245;False
9;Touchpad;27;25;400;4.087463;0.1843385;False
9;Touchpad;28;25;400;4.087463;0.1806666;False
9;Touchpad;29;25;400;4.087463;0.184417;False
9;Touchpad;30;25;400;4.087463;0.1724989;False
9;Touchpad;31;25;400;4.087463;0.1665837;False
9;Touchpad;32;25;400;4.087463;0.1916958;False
9;Touchpad;33;25;400;4.087463;0.1570259;False
9;Touchpad;34;25;400;4.087463;0.1799838;False
9;Touchpad;35;25;400;4.087463;0.1918374;False
9;Touchpad;36;25;400;4.087463;0.1883776;False
9;Touchpad;37;50;800;4.087463;0.1758527;False
9;Touchpad;38;50;800;4.087463;0.1800715;False
9;Touchpad;39;50;800;4.087463;0.1871642;False
9;Touchpad;40;50;800;4.087463;0.1772842;False
9;Touchpad;41;50;800;4.087463;0.1796749;False
9;Touchpad;42;50;800;4.087463;0.179404;False
9;Touchpad;43;50;800;4.087463;0.1965851;False
9;Touchpad;44;50;800;4.087463;0.1679465;False
9;Touchpad;45;50;800;4.087463;0.1628422;False
9;Touchpad;46;50;800;4.087463;0.196477;False
9;Touchpad;47;50;800;4.087463;0.167623;False
9;Touchpad;48;50;800;4.087463;0.2054716;False
9;Touchpad;49;100;800;3.169925;0.1914868;False
9;Touchpad;50;100;800;3.169925;0.1994937;False
9;Touchpad;51;100;800;3.169925;0.1808911;False
9;Touchpad;52;100;800;3.169925;0.1839387;False
9;Touchpad;53;100;800;3.169925;0.1902456;False
9;Touchpad;54;100;800;3.169925;0.1928923;False
9;Touchpad;55;100;800;3.169925;0.1802049;False
9;Touchpad;56;100;800;3.169925;0.1834577;False
9;Touchpad;57;100;800;3.169925;0.1930628;False
9;Touchpad;58;100;800;3.169925;0.1911082;False
9;Touchpad;59;100;800;3.169925;0.1961941;False
9;Touchpad;60;100;800;3.169925;0.1888143;False
9;Touchpad;61;25;800;5.044394;0.1959199;False
9;Touchpad;62;25;800;5.044394;0.1986716;False
9;Touchpad;63;25;800;5.044394;0.1894118;False
9;Touchpad;64;25;800;5.044394;0.218755;False
9;Touchpad;65;25;800;5.044394;0.1800477;False
9;Touchpad;66;25;800;5.044394;1.032117;False
9;Touchpad;67;25;800;5.044394;0.2092862;False
9;Touchpad;68;25;800;5.044394;0.1951627;False
9;Touchpad;69;25;800;5.044394;0.1994735;False
9;Touchpad;70;25;800;5.044394;0.1849324;False
9;Touchpad;71;25;800;5.044394;0.1952751;False
9;Touchpad;72;25;800;5.044394;0.1918635;False

