Subject_ID;Input Device;Current Clicks;Button Width;Button Distance;Index Of Difficulty;Time Taken; Successful Press
1;Mouse;1;50;400;3.169925;0.6548528;True
1;Mouse;2;50;400;3.169925;0.8321415;False
1;Mouse;3;50;400;3.169925;1.232853;False
1;Mouse;4;50;400;3.169925;1.015743;True
1;Mouse;5;50;400;3.169925;2.831697;True
1;Mouse;6;50;400;3.169925;1.423503;False
1;Mouse;7;50;400;3.169925;1.741156;True
1;Mouse;8;50;400;3.169925;1.331246;False
1;Mouse;9;50;400;3.169925;1.256218;False
1;Mouse;10;50;400;3.169925;1.264387;False
1;Mouse;11;50;400;3.169925;1.086949;True
1;Mouse;12;50;400;3.169925;0.9614159;True
1;Mouse;13;100;400;2.321928;0.6549429;False
1;Mouse;14;100;400;2.321928;0.5354143;True
1;Mouse;15;100;400;2.321928;0.4794858;False
1;Mouse;16;100;400;2.321928;2.599559;True
1;Mouse;17;100;400;2.321928;1.624966;False
1;Mouse;18;100;400;2.321928;1.304482;False
1;Mouse;19;100;400;2.321928;0.7832392;False
1;Mouse;20;100;400;2.321928;0.4018208;False
1;Mouse;21;100;400;2.321928;1.255404;True
1;Mouse;22;100;400;2.321928;0.8299085;True
1;Mouse;23;100;400;2.321928;0.7774015;False
1;Mouse;24;100;400;2.321928;0.6641902;True
1;Mouse;25;25;400;4.087463;0.7287472;False
1;Mouse;26;25;400;4.087463;0.616067;True
1;Mouse;27;25;400;4.087463;1.143643;False
1;Mouse;28;25;400;4.087463;0.9961702;True
1;Mouse;29;25;400;4.087463;0.8120281;False
1;Mouse;30;25;400;4.087463;0.8145768;False
1;Mouse;31;25;400;4.087463;0.7516415;False
1;Mouse;32;25;400;4.087463;0.705128;False
1;Mouse;33;25;400;4.087463;0.7444044;False
1;Mouse;34;25;400;4.087463;0.7674029;False
1;Mouse;35;25;400;4.087463;0.8359786;False
1;Mouse;36;25;400;4.087463;0.6841466;True
1;Mouse;37;50;800;4.087463;0.7314488;True
1;Mouse;38;50;800;4.087463;2.324991;True
1;Mouse;39;50;800;4.087463;1.12846;False
1;Mouse;40;50;800;4.087463;2.266166;False
1;Mouse;41;50;800;4.087463;1.356368;True
1;Mouse;42;50;800;4.087463;1.21725;False
1;Mouse;43;50;800;4.087463;1.127509;False
1;Mouse;44;50;800;4.087463;1.135936;False
1;Mouse;45;50;800;4.087463;1.103916;True
1;Mouse;46;50;800;4.087463;1.111499;True
1;Mouse;47;50;800;4.087463;1.088542;False
1;Mouse;48;50;800;4.087463;1.184415;False
1;Mouse;49;100;800;3.169925;1.976417;False
1;Mouse;50;100;800;3.169925;0.4476569;False
1;Mouse;51;100;800;3.169925;2.055617;False
1;Mouse;52;100;800;3.169925;0.3038509;True
1;Mouse;53;100;800;3.169925;0.2010898;False
1;Mouse;54;100;800;3.169925;0.1747113;False
1;Mouse;55;100;800;3.169925;0.1929044;False
1;Mouse;56;100;800;3.169925;0.1680841;True
1;Mouse;57;100;800;3.169925;0.1919489;False
1;Mouse;58;100;800;3.169925;0.1763044;False
1;Mouse;59;100;800;3.169925;0.1915866;False
1;Mouse;60;100;800;3.169925;0.2073804;True
1;Mouse;61;25;800;5.044394;0.2483288;False
1;Mouse;62;25;800;5.044394;0.5355353;False
1;Mouse;63;25;800;5.044394;0.1924699;False
1;Mouse;64;25;800;5.044394;0.1920552;False
1;Mouse;65;25;800;5.044394;0.1671622;False
1;Mouse;66;25;800;5.044394;0.1926324;False
1;Mouse;67;25;800;5.044394;0.1753106;False
1;Mouse;68;25;800;5.044394;0.1856392;False
1;Mouse;69;25;800;5.044394;0.1717375;False
1;Mouse;70;25;800;5.044394;0.2038185;False
1;Mouse;71;25;800;5.044394;0.2052315;False
1;Mouse;72;25;800;5.044394;0.1948272;False

